,0,model,days,apr,target,size,shares,bonds,bonds_pct
0,apr,,,,,,,,
1,model,,,,,,,,
2,days,,,,,,,,
3,shares,,,,,,,,
4,bonds,,,,,,,,
5,size,,,,,,,,
6,target,,,,,,,,
7,bonds_pct,,,,,,,,
128,,Yieldspace,61.0,0.04999999999999606,0.05,1000000.0,1000000.0,1009211.6069996144,0.5022923436654266
129,,Hyperdrive,61.0,0.04999999999999606,0.05,1000000.0,1000000.0,1009211.6069996144,0.5022923436654266
130,,Yieldspace,62.0,0.05000000000000411,0.05,1000000.0,1000000.0,1009098.2136706457,0.5022642530884598
131,,Hyperdrive,62.0,0.05000000000000411,0.05,1000000.0,1000000.0,1009098.2136706457,0.5022642530884598
132,,Yieldspace,63.0,0.04999999999999993,0.05,1000000.0,1000000.0,1008984.8494079845,0.5022361665421798
133,,Hyperdrive,63.0,0.04999999999999993,0.05,1000000.0,1000000.0,1008984.8494079845,0.5022361665421798
134,,Yieldspace,64.0,0.04999999999999832,0.05,1000000.0,1000000.0,1008871.5142005613,0.5022080840257451
135,,Hyperdrive,64.0,0.04999999999999832,0.05,1000000.0,1000000.0,1008871.5142005613,0.5022080840257451
136,,Yieldspace,65.0,0.049999999999999115,0.05,1000000.0,1000000.0,1008758.2080368272,0.5021800055381943
137,,Hyperdrive,65.0,0.049999999999999115,0.05,1000000.0,1000000.0,1008758.2080368272,0.5021800055381943
138,,Yieldspace,66.0,0.05000000000000148,0.05,1000000.0,1000000.0,1008644.9309051973,0.5021519310785559
139,,Hyperdrive,66.0,0.05000000000000148,0.05,1000000.0,1000000.0,1008644.9309051973,0.5021519310785559
140,,Yieldspace,67.0,0.05000000000000024,0.05,1000000.0,1000000.0,1008531.6827939785,0.5021238606458301
141,,Hyperdrive,67.0,0.05000000000000024,0.05,1000000.0,1000000.0,1008531.6827939785,0.5021238606458301
142,,Yieldspace,68.0,0.049999999999997595,0.05,1000000.0,1000000.0,1008418.4636917287,0.5020957942390787
143,,Hyperdrive,68.0,0.049999999999997595,0.05,1000000.0,1000000.0,1008418.4636917287,0.5020957942390787
144,,Yieldspace,69.0,0.050000000000000905,0.05,1000000.0,1000000.0,1008305.273587163,0.5020677318574004
145,,Hyperdrive,69.0,0.050000000000000905,0.05,1000000.0,1000000.0,1008305.273587163,0.5020677318574004
